Empresas autorizadas a explorar a modalidade lotérica de aposta de quota fixa a partir de 1º de janeiro de 2025 em âmbito nacional, conforme o disposto nas Leis nº 13.756, de 12 de dezembro de 2018, nº 14.790, de 29 de dezembro de 2023, e na regulamentação do Ministério da Fazenda.;;;;;;;;;;;;;;
75;SPA/MF nº 2.100, de 30 de dezembro de 2024;ALFA ENTRETENIMENTO S.A.;55.359.927/0001-04;ALFA.BET;alfa.bet.br;0060/2024;;;;;;;;
76;SPA/MF nº 2.099, de 30 de dezembro de 2024;DIGIPLUS BRAZIL INTERACTIVE LTDA;56.060.798/0001-11;ARENAPLUS; arenaplus.bet.br;0041/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 1.761, de 11 de agosto de 2025;;;;;;;;;;;;;
;(E pela Portaria SPA/MF nº 2.429, de 24 de outubro de 2025);;;BINGOPLUS;bingoplus.bet.br;;;;;;;;;
77;SPA/MF nº 2.098, de 30 de dezembro de 2024;BOA LION S.A.; 53.837.227/0001-52 ;BETMGM ;betmgm.bet.br;0036/2024;;;;;;;;
;;;;MGM ;mgm.bet.br;;;;;;;;;
78;SPA/MF nº 2.097, de 30 de dezembro de 2024;SEGURO BET LTDA; 56.268.974/0001-05;SEGURO BET;seguro.bet.br       ;0018/2024;;;;;;;;
;;;;KING PANDA;kingpanda.bet.br;;;;;;;;;
79;SPA/MF nº 2.096, de 30 de dezembro de 2024;OIG GAMING BRAZIL LTDA;55.459.453/0001-72;7GAMES;7games.bet.br;0015/2024;;;;;;;;
;;;;BETÃO;betao.bet.br;;;;;;;;;
;;;;R7;r7.bet.br;;;;;;;;;
80;SPA/MF nº 2.095, de 30 de dezembro de 2024;BLAC JOGOS LTDA;55.988.317/0001-70;SPORTYBET;sporty.bet.br       ;0011/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 480, de 10 de março de 2025);;;;;;;;;;;;;
81;SPA/MF nº 2.094, de 30 de dezembro de 2024;GALERA GAMING JOGOS ELETRONICOS S.A.;31.853.299/0001-50;GALERA.BET;galera.bet.br;0009/2024;;;;;;;;
82;SPA/MF nº 2.093, de 30 de dezembro de 2024;APOLLO OPERATIONS LTDA; 54.923.003/0001-26;KTO;kto.bet.br;0007/2024;;;;;;;;
83;SPA/MF nº 2.092, de 30 de dezembro de 2024;NSX BRASIL S.A.;55.056.104/0001-00;BETNACIONAL;betnacional.bet.br;0006/2024;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 1814, de 15 de agosto de 2025);;;;;;;;;;;;;
84;SPA/MF nº 2.091, de 30 de dezembro 2024;MMD TECNOLOGIA, ENTRETENIMENTO E MARKETING LTDA;34.935.286/0001-19;REI DO PITACO;reidopitaco.bet.br  ;0003/2024;;;;;;;;
;;;;PITACO;pitaco.bet.br       ;;;;;;;;;
;(Alterada pela Portaria SPA/MF nº 1.142, de 23 de maio de 2025);;;RdP;rdp.bet.br;;;;;;;;;
85;SPA/MF nº 2.090, de 30 de dezembro de 2024;SPRBT INTERACTIVE BRASIL LTDA ;54.071.596/0001-40;SUPERBET;superbet.bet.br     ;0002/2024;;;;;;;;
;;;;MAGICJACKPOT;magicjackpot.bet.br ;;;;;;;;;
;;;;SUPER ;super.bet.br        ;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
