empresa,cnpj,marcas,dominios,portaria,requerimento,cnpj_basico,cnpj_dv_ok
BETSPEED LTDA,56061524000147,TIGER.BET,tiger.bet.br,"SPA/MF nº 258, de 07 de fevereiro de 2025",0037/2024,56061524,True
BETSPEED LTDA,56061524000147,PQ777,pq777.bet.br,"SPA/MF nº 258, de 07 de fevereiro de 2025",0037/2024,56061524,True
BETSPEED LTDA,56061524000147,5G,5g.bet.br,"SPA/MF nº 258, de 07 de fevereiro de 2025",0037/2024,56061524,True
BETESPORTE APOSTAS ON LINE LTDA,56295104000125,BETESPORTE,betesporte.bet.br,"SPA/MF nº 257, de 07 de fevereiro de 2025",0033/2024,56295104,True
BETESPORTE APOSTAS ON LINE LTDA,56295104000125,LANCE DE SORTE,lancedesorte.bet.br,"SPA/MF nº 257, de 07 de fevereiro de 2025",0033/2024,56295104,True
SUPREMA BET LTDA,56183358000151,SUPREMABET,suprema.bet.br,"SPA/MF nº 256, de 07 de fevereiro de 2025",0032/2024,56183358,True
SUPREMA BET LTDA,56183358000151,MAXIMABET,maxima.bet.br,"SPA/MF nº 256, de 07 de fevereiro de 2025",0032/2024,56183358,True
SUPREMA BET LTDA,56183358000151,ULTRABET,ultra.bet.br,"SPA/MF nº 256, de 07 de fevereiro de 2025",0032/2024,56183358,True
CDA GAMING LTDA,56636543000154,CASA DE APOSTAS,casadeapostas.bet.br,"SPA/MF nº 255, de 07 de fevereiro de 2025",0029/2024,56636543,True
CDA GAMING LTDA,56636543000154,BET SUL,betsul.bet.br,"SPA/MF nº 255, de 07 de fevereiro de 2025",0029/2024,56636543,True
CDA GAMING LTDA,56636543000154,JOGO ONLINE,jogoonline.bet.br,"SPA/MF nº 255, de 07 de fevereiro de 2025",0029/2024,56636543,True
SC OPERATING BRAZIL LTDA,54068631000171,VBET,vbet.bet.br,"SPA/MF nº 254, de 07 de fevereiro de 2025",0028/2024,54068631,True
SC OPERATING BRAZIL LTDA,54068631000171,VIVARO,vivaro.bet.br,"SPA/MF nº 254, de 07 de fevereiro de 2025",0028/2024,54068631,True
H2 LICENSED LTDA,56303755000110,SEUBET,seu.bet.br,"SPA/MF nº 253, de 07 de fevereiro de 2025",0027/2024,56303755,True
H2 LICENSED LTDA,56303755000110,H2 BET,h2.bet.br,"SPA/MF nº 253, de 07 de fevereiro de 2025",0027/2024,56303755,True
LUCKY GAMING LTDA,56212040000151,4WIN,4win.bet.br,"SPA/MF nº 252, de 07 de fevereiro de 2025",0025/2024,56212040,True
LUCKY GAMING LTDA,56212040000151,4PLAY,4play.bet.br,"SPA/MF nº 252, de 07 de fevereiro de 2025",0025/2024,56212040,True
LUCKY GAMING LTDA,56212040000151,PAGOL,pagol.bet.br,"SPA/MF nº 252, de 07 de fevereiro de 2025",0025/2024,56212040,True
APOSTA GANHA LOTERIAS LTDA,56001749000108,APOSTA GANHA,apostaganha.bet.br,"SPA/MF nº 251, de 07 de fevereiro de 2025",0022/2024,56001749,True
APOSTA GANHA LOTERIAS LTDA,56001749000108,RECEBA,receba.bet.br,"SPA/MF nº 251, de 07 de fevereiro de 2025",0022/2024,56001749,True
HS DO BRASIL LTDA,47123407000170,BET365,bet365.bet.br,"SPA/MF nº 250, de 07 de fevereiro de 2025",0021/2024,47123407,True
NVBT GAMING LTDA,50587712000127,NOVIBET,novibet.bet.br,"SPA/MF nº 249, de 07 fevereiro de 2025",0017/2024,50587712,True
NSX BETFAIR BRASIL S.A,55229080000143,BETFAIR,betfair.bet.br,"SPA/MF nº 248, de 07 de fevereiro de 2025",0014/2024,55229080,True
VENTMEAR BRASIL S.A.,52868380000184,SPORTINGBET,sportingbet.bet.br,"SPA/MF nº 247, de 07 de fevereiro de 2025",0004/2024,52868380,True
VENTMEAR BRASIL S.A.,52868380000184,BETBOO,betboo.bet.br,"SPA/MF nº 247, de 07 de fevereiro de 2025",0004/2024,52868380,True
KAIZEN GAMING BRASIL LTDA,46786961000174,BETANO,betano.bet.br,"SPA/MF nº 246, de 07 de fevereiro de 2025",0001/2024,46786961,True
ESPORTES GAMING BRASIL LTDA,56075466000100,ESPORTES DA SORTE,esportesdasorte.bet.br,"SPA/MF nº 136, de 22 de janeiro de 2025",0030/2024,56075466,True
ESPORTES GAMING BRASIL LTDA,56075466000100,ONABET,ona.bet.br,"SPA/MF nº 136, de 22 de janeiro de 2025",0030/2024,56075466,True
ESPORTES GAMING BRASIL LTDA,56075466000100,LOTTU,lottu.bet.br,"SPA/MF nº 136, de 22 de janeiro de 2025",0030/2024,56075466,True
LINDAU GAMING BRASIL S.A.,50550511000155,OLEYBET,oleybet.bet.br,"SPA/MF nº 2.105, de 30 de dezembro de 2024",0085/2024,50550511,True
BETBOOM LTDA,54951974000180,BETBOOM,betboom.bet.br,"SPA/MF nº 2.103, de 30 de dezembro de 2024",0069/2024,54951974,True
BETBOOM LTDA,54951974000180,FREE,free.bet.br,"SPA/MF nº 2.103, de 30 de dezembro de 2024",0069/2024,54951974,True
A2FBR S.A.,56147145000174,PINNACLE,pinnacle.bet.br,"SPA/MF nº 2.102, de 30 de dezembro de 2024",0067/2024,56147145,True
A2FBR S.A.,56147145000174,MATCHBOOK,matchbook.bet.br,"SPA/MF nº 2.102, de 30 de dezembro de 2024",0067/2024,56147145,True
