cnpj,cnpj_basico,empresa,n_autorizacoes,cnpj_dv_ok,portarias,n_marcas,marcas,DENOMINAÇÃO SOCIAL DA EMPRESA,CNPJ,MARCAS,DOMÍNIOS,INFORMAÇÕES JUDICIAIS
56257966000163,56257966,SPORTVIP GROUP INTERNATIONAL APOSTAS LTDA,3,True,"SPA/MF nº 1.055, de 14 de maio de 2025",3,ESPORTIVAVIP | CBESPORTES | DONOSDABOLA,,,,,
56442917000109,56442917,7MBR LTDA,3,True,"SPA/MF nº 844, de 17 de abril de 2025",3,VERT | CGG | FANBIT,,,,,
40633348000130,40633348,PIXBET SOLUÇÕES TECNOLÓGICAS LTDA.,3,True,"SPA/MF nº 806, de 14 de abril de 2025",3,PIXBET | GANHEIBET | BET DA SORTE,,,,,
56885537000130,56885537,VANGUARD ENTRETENIMENTO BRASIL LTDA,3,True,"SPA/MF nº 693, de 1º de abril de 2025",3,ESPORTE 365 | BET AKI | JOGO DE OURO,,,,,
06023798000173,06023798,SISTEMA LOTÉRICO DE PERNAMBUCO LTDA.,3,True,"SPA/MF nº 528, de 14 de março de 2025",3,MCGAMES | PLAY | MONTECARLOS,,,,,
56441713000145,56441713,LBBR APOSTAS DE QUOTA FIXA LIMITADA,3,True,"SPA/MF nº 527, de 14 de março de 2025",3,LUCK.BET | 1 PRA 1 | STARTBET,,,,,
56195600000107,56195600,MERIDIAN GAMING BRASIL SPE LTDA,2,True,"SPA/MF nº 526, de 14 de março de 2025",2,MERIDIAN | PIN,,,,,
23159703000162,23159703,RR PARTICIPAÇÕES E INTERMEDIAÇÕES DE NEGÓCIOS LTDA,3,True,"SPA/MF nº 525, de 14 de março de 2025",3,MULTIBET | RICOBET | BRXBET,,,,,
55258645000110,55258645,PIX NA HORA,3,True,"SPA/MF nº 524, de 14 de março de 2025",3,APOSTA1 | APOSTAMAX | AVIÃOBET,,,,,
53570592000143,53570592,EA ENTRETENIMENTO E ESPORTES S.A.,2,True,"SPA/MF nº 523, de 14 de março de 2025",2,BATEU BET | ESPORTIVA BET,,,,,
54362120000168,54362120,HILGARDO GAMING LTDA,3,True,"SPA/MF nº 475, de 10 de março de 2025",3,A247 | HILGARDO | HILGARDO GAMING,,,,,
