cnpj,empresa,marca,dominio,portaria,requerimento,dominio_pareado
56147145000174,A2FBR S.A.,MATCHBOOK,matchbook.bet.br,"SPA/MF nº 2.102, de 30 de dezembro de 2024",0067/2024,True
56147145000174,A2FBR S.A.,BETESPECIAL,betespecial.bet.br,"SPA/MF nº 2.102, de 30 de dezembro de 2024",0067/2024,True
56147145000174,A2FBR S.A.,BOLSA DE APOSTA,bolsadeaposta.bet.br,"SPA/MF nº 2.101, de 30 de dezembro de 2024",0067/2024,True
56147145000174,A2FBR S.A.,FULLTBET,fulltbet.bet.br,"SPA/MF nº 2.101, de 30 de dezembro de 2024",0067/2024,True
56147145000174,A2FBR S.A.,BETBRA,betbra.bet.br,"SPA/MF nº 2.101, de 30 de dezembro de 2024",0067/2024,True
55359927000104,ALFA ENTRETENIMENTO S.A.,ALFA.BET,alfa.bet.br,"SPA/MF nº 2.100, de 30 de dezembro de 2024",0060/2024,True
56060798000111,DIGIPLUS BRAZIL INTERACTIVE LTDA,ARENAPLUS,arenaplus.bet.br,"SPA/MF nº 2.099, de 30 de dezembro de 2024",0041/2024,True
53837227000152,BOA LION S.A.,BETMGM,betmgm.bet.br,"SPA/MF nº 2.098, de 30 de dezembro de 2024",0036/2024,True
53837227000152,BOA LION S.A.,MGM,mgm.bet.br,"SPA/MF nº 2.098, de 30 de dezembro de 2024",0036/2024,True
56268974000105,SEGURO BET LTDA,SEGURO BET,seguro.bet.br,"SPA/MF nº 2.097, de 30 de dezembro de 2024",0018/2024,True
56268974000105,SEGURO BET LTDA,KING PANDA,kingpanda.bet.br,"SPA/MF nº 2.097, de 30 de dezembro de 2024",0018/2024,True
55459453000172,OIG GAMING BRAZIL LTDA,7GAMES,7games.bet.br,"SPA/MF nº 2.096, de 30 de dezembro de 2024",0015/2024,True
55459453000172,OIG GAMING BRAZIL LTDA,BETÃO,betao.bet.br,"SPA/MF nº 2.096, de 30 de dezembro de 2024",0015/2024,True
55459453000172,OIG GAMING BRAZIL LTDA,R7,r7.bet.br,"SPA/MF nº 2.096, de 30 de dezembro de 2024",0015/2024,True
55988317000170,BLAC JOGOS LTDA,SPORTYBET,sporty.bet.br,"SPA/MF nº 2.095, de 30 de dezembro de 2024",0011/2024,True
31853299000150,GALERA GAMING JOGOS ELETRONICOS S.A.,GALERA.BET,galera.bet.br,"SPA/MF nº 2.094, de 30 de dezembro de 2024",0009/2024,True
54923003000126,APOLLO OPERATIONS LTDA,KTO,kto.bet.br,"SPA/MF nº 2.093, de 30 de dezembro de 2024",0007/2024,True
55056104000100,NSX BRASIL S.A.,BETNACIONAL,betnacional.bet.br,"SPA/MF nº 2.092, de 30 de dezembro de 2024",0006/2024,True
34935286000119,"MMD TECNOLOGIA, ENTRETENIMENTO E MARKETING LTDA",REI DO PITACO,reidopitaco.bet.br,"SPA/MF nº 2.091, de 30 de dezembro 2024",0003/2024,True
34935286000119,"MMD TECNOLOGIA, ENTRETENIMENTO E MARKETING LTDA",PITACO,pitaco.bet.br,"SPA/MF nº 2.091, de 30 de dezembro 2024",0003/2024,True
34935286000119,"MMD TECNOLOGIA, ENTRETENIMENTO E MARKETING LTDA",RdP,rdp.bet.br,"SPA/MF nº 2.091, de 30 de dezembro 2024",0003/2024,True
54071596000140,SPRBT INTERACTIVE BRASIL LTDA,SUPERBET,superbet.bet.br,"SPA/MF nº 2.090, de 30 de dezembro de 2024",0002/2024,True
